input_text,target_text
"Most research on plant-plant chemical interactions has focussed on events following herbivore or pathogen attack. However, undamaged plants also interact chemically as a natural facet of their behaviour, and this may have consequences for insects that use the plants as hosts. In this review, the links between allelopathy and insect behaviour are outlined. Findings on how chemical interactions between different plant species and genotypes affect aphid herbivores and their natural enemies are reviewed, and the role of plant diversity and chemical interaction for trophic interactions in crops is discussed.","aphids, tritrophic interaction, allelopathy, allelobiosis, ladybirds"
"Steel building frames are often analyzed for stability in an elastic way, while most of their columns behave inelastically at the buckling stage. Most column design provisions allow for inelastic behavior, but overall inelastic stability analysis is rarely performed. In this study the analysis philosophy is centered on the overall frame stability and its true safety factor. As many columns show inelastic behavior at the buckling stage, the proposed procedure takes due consideration of this fact. Once the overall buckling factor for the frame is obtained, individual column effective length factors, and their true slenderness ratios are computed, and used in the design relationships. This procedure circumvents the use of design nomographs and numerous formulas proposed in the past to alleviate their shortcomings. The procedure proposed based on the overall safety factor concept is an iterative one. It starts with a stability analysis and gradually modifies the structural properties to take account of inelasticity and eventually converges to the final buckling factor and mode shape. Any type of lateral restraint can be exactly modeled and taken into consideration without the need for approximate simplifying assumptions. The design philosophy proposed herein is that all columns must have their design parameters as related to buckling capacity must be derived from a single buckling analysis valid for the whole structure, and not considered separately and isolated from the rest of the structure as is currently practiced. Examples are worked out to illustrate the procedure and the results are compared to those of others.","steel frame stability, effective column lengths, effective modulus, aisc code, residual stresses, inelastic buckling, stability analysis, residual stress, safety factor"
"This study was undertaken to assess results of surgery for fistula-in-ano and identify risk factors for fistula recurrence and impaired continence.We reviewed the records of 624 patients who underwent surgery for fistula-in-ano between 1988 and 1992. Follow-up was by mailed questionnaire, with 375 patients (60 percent) responding. Mean follow-up was 29 months. Fistulas were intersphincteric in 180 patients, transsphincteric in 108, suprasphincteric in 6, extrasphincteric in 6, and unclassified in 75. Procedures included fistulotomy and marsupialization (n = 300), seton placement (n = 63), endorectal advancement flap (n = 3), and other (n = 9). Factors associated with recurrence and incontinence were analyzed by univariate and multivariate regression analysis.The fistula recurred in 31 patients (8 percent), and 45 percent complained of some degree of postoperative incontinence. Factors associated with recurrence included complex type of fistula, horseshoe extension, lack of identification or lateral location of the internal fistulous opening, previous fistula surgery, and the surgeon performing the procedure. Incontinence was associated with female sex, high anal fistula, type of surgery, and previous fistula surgery.Surgical treatment of fistula-in-ano is associated with a significant risk of recurrence and a high risk of impaired continence. Degree of risk varies with identifiable factors.","treatment, complication, risk factor, surgery"
"Tested 22 spayed female cats preoperatively on a BLACK-WHITE discrimination, placing responses, visual-cliff preferences, and open-field activity. Subsequently, Ss received lesions in the septum or anterior sigmoid gyrus or remained as normal controls. Postoperatively, Ss were retested on all preoperative tasks and also on passive-avoidance, serial reversal, delayed-alternation, and searching tasks. The anterior sigmoid group was impaired in relearning a BLACK-WHITE discrimination. Both the frontal and septal groups were more active than controls in the open field and also were impaired on the last 100 trials of delayed alternation. No differences were observed among the groups in the remainder of the tasks. (46 ref) (PsycINFO Database Record (c) 2006 APA, all rights reserved)","female cats, delayed-alternation &, black-white discrimination &, serial reversal &, lesions of septal forebrain vs anterior sigmoid neocortex, visual-cliff preferences &, searching tasks &, passive-avoidance &, open-field activity, placing responses &"
"This paper describes lessons learned while conducting a cross-cultural study of information search comparing Chinese and North American consumers. The paper looks at such issues as creating relevant samples in cultures where it is difficult to compare occupations, income levels, educational levels and spending parity. The paper also underscores the need for a full understanding of the differences in the marketing environment that may exist in different cultures and how those differences may affect study results. Ways to alleviate the methodological issues in the specific context of cross-cultural research are suggested.","decision making, cross-cultural methodology, china, information search and use, cross cultural research, cultural studies"
"This paper suggests an approach to specifying process in such a way that progress can be measured in terms of achievement rather than effort expended. The outcome of each process activity is specified in terms of the status of information items and the relationships between them. Pre-requisites to this approach are the presence of an overall information model, and the ability to manage this model and its instantiation in an information repository. A description is given of how the approach has been implemented for a requirements management process using the DOORS requirements management tool. The work was carried out as part of the EC funded Framework project, SUCSEDE.","information engineering, requirements management process, information repository, information item, process activity, process improvement, framework project, information state, process, overall information model, specifying process, change management, doors requirements management tool, information model, requirements management"
"Presents an analysis of WAIS protocols of 98 servicemen obtained 1 wk. prior to hospital discharge. All Ss had experienced an acute schizophrenic episode and had recovered sufficiently to be judged capable of returning to full duty. For 6 mo. following their return to duty, they were intensively studied. The hypothesis that the Ss who were rehospitalized would show a lower mean ""analytic index,"" as defined by Witkin, Dyk, Faterson, Goodenough, and Karp, than those who successfully reintegrated was confirmed. (PsycINFO Database Record (c) 2006 APA, all rights reserved)","wais analytic index & rehospitalization, wechsler adult intelligence scale (wais), psychosis, schizophrenia, analytic index & rehospitalization of schizophrenic servicemen, indexation"
"<p>Overconsolidated unsaturated soils emerge in many engineering problems. This article presents a constitutive model for unsaturated soils using skeleton stress and degree of saturation as fundamental variables. A subloading surface is introduced into the framework to interpret the effect of overconsolidation on the coupled hydromechanical behavior of overconsolidated unsaturated soils. The main advantage of the proposed model is that it is capable of reproducing the hydromechanical behavior of unsaturated soils with different initial overconsolidation ratios, such as the overconsolidation effect on the shearing-induced saturation change. The material parameters of the proposed model can be calibrated through conventional tests. Numerical studies were conducted to assess the performance of the model for a fictional silt under two typical scenarios. The validity of the proposed model was confirmed by experimental results for both isotropic and triaxial conditions reported in the literature.</p>","Soil properties, Unsaturated soils, Overconsolidated soils, Numerical analysis, Constitutive relations, Hydromechanics, Hydrologic models, Soil stress"
"The progressive collapse resistance of seismically designed steel braced frames is investigated using validated computational simulation models. Two types of braced systems are considered: namely, special concentrically braced frames and eccentrically braced frames. The study is conducted on previously designed 10-story prototype buildings by applying the alternate path method. In this methodology, critical columns and adjacent braces, if present, are instantaneously removed from an analysis model and the ability of the model to successfully absorb member loss is investigated. Member removal in this manner is intended to represent a situation where an extreme event or abnormal load destroys the member. The simulation results show that while both systems benefit from placement of the seismically designed frames on the perimeter of the building, the eccentrically braced frame is less vulnerable to progressive collapse than the special concentrically braced frame. Improvement in behavior is due to improved system and member layouts in the former compared to the latter rather than the use of more stringent seismic detailing.","steel frames, progressive collapse, macro-model, finite element, special concentrically braced frames, eccentrically braced frames, seismic detailing, computer simulation, seismic design"
"AbstractThis paper presents a holistic postoccupancy evaluation (POE) framework and its application to a campus residential facility. The development of a framework was based on an extensive review of literature and an identification of a comprehensive set of performance indicators. Multiple evaluation techniques were employed, including the review of existing documents, interviews, walkthroughs, questionnaire surveys, and spot measurements. The importance-satisfaction (IS) matrix was utilized to identify building performance successes and failures. The study shows that occupants are moderately satisfied with their residential environment. Specific issues identified were related to HVAC and lighting systems, among others. The holistic POE framework will help to derive more qualitative feedback in housing evaluation studies for more reliable decision making. This study bridges the research gap for the need for more holistic forms of POE in the facilities management sector. The recommendations provided in t...","Reviews, Surveys (non-geomatic), Light (artificial), Failure analysis, Bibliographies, Matrix (mathematics), Residential location, Housing"
"Diabetic nephropathy has become the single most important cause of endstage renal failure in most countries of the Western world. Against this background, the role of the renin-angiotensin system (RAS) and its blockade command considerable interest. In diabetic patients and in diabetic animals, the circulating components of the RAS are suppressed. Although the evidence is not completely uniform, there are indirect arguments (renal hemodynamic response to RAS blockade, AT1 receptor expression), however, which would be consistent with increased intrarenal action of angiotensin (ANG) II. There is solid evidence that ACE inhibitors effectively interfere with progression of micro-albuminuria both in IDDM and NIDDM. They also prevent progression of advanced renal failure in IDDM, while there is only preliminary evidence in this respect for NIDDM. ACE inhibitors are superior to conventional antihypertensive agents (with the possible exception of some calcium channel blockers), but such superiority is seen only when the levels of blood pressure are relatively high. In diabetic animals, treatment with ANG II receptor blockers interferes with the development of glomerular lesions. In acute and subacute studies on diabetic patients, ANG II receptor blockers reduced albuminuria (or proteinuria) more than beta-blockers. Head-on comparison of equipotent doses ACE inhibitors and ANG II receptor blockers in non-diabetic patients produced equal reductions in proteinuria. The long-term effects of ANG II receptor blockers on progression of advanced diabetic nephropathy is the object of two large international studies. The results will not be available before the year 2000.","ace inhibitors, angiotensin receptor blockers, renin angiotensin system, dia- betic nephropathy, diabetes mellitus, renal function, blood pressure, hemodynamic response"
"The paper proposes an algorithm for digital relaying for the differential protection of large transformers. The digital filters, intended to extract the fundamental frequency component and the second and fifth harmonic components to provide operating and restraint signals respectively, are based on the discrete Hartley transform. To distinguish internal faults from magnetizing inrush and overexcitation conditions, a fault discriminant is defined here in terms of the average values of the aforementioned frequency components. The frequency responses of the proposed filters have been evaluated from a Z-transform and presented here. The efficacies of the filters and fault discriminant have been checked on a mainframe computer using simulation equations for internal fault and magnetizing inrush conditions. A threshold value has been determined for the fault discriminant after studying the effect on it of various transformer parameters and working conditions. With this value of the threshold, the relay operates within 17.5 ms of inception of any internal fault and restrains on magnetizing inrush.","discrete hartley transform, digital relay, digital filter, electric transformer, harmonic"
"This study was undertaken to help confirm the percentages concerning the presence or absence of the flexor digitorum brevis muscle tendon to the fifth toe. We also hope to be able to determine the presence based on gender and nationality. It is known to be absent occasionally; however, there is no definitive study dedicated to its prevalence. Using a pool of 60 cadavers, 97 total feet were included in our analysis. Of these feet, 47 (48%) lacked a flexor digitorum brevis tendon to the fifth toe at all. Furthermore, 25 (26%) had notably small tendons to the fifth toe. The final 25 (26%) had what the researchers deemed present tendons. This information could be helpful in surgical planning, including tendon transfer techniques, and biomechanical evaluations. Further research would need to be conducted as this was a cadaveric study.Cadaver/anatomy research, Level V.","anatomy, fifth digit, flexor digitorum brevis, surgery, tendon"
"Synchronization is an important requirement for redundant pole control system. Asynchronous redundant pole control system will bring uncertain disturbance to HVDC transmission system. There are 4 synchronous requirements for redundant pole control system: parameter transfer, control algorithm, excitatory input and control output. This paper provides the implement methods: using pole control system design, HMI design, pole control application program design and platform design to realize the synchronization. The most kernel part should start from the hardware and sofeware design of the platform. It uses CPU + FPGA and 'fix delay' + 'phase-locked synchronization' design to guarantee the hard synchronization between trigger pulse and system synchronous voltage. The concept and principle can be taken as reference for HVDC control and protection project and platform design.","HVDC transmission system, Pole control system, Redundant, Switch, Synchronization"
"Chronic obstipation and fecal impaction in children can be difficult management problems for pediatricians. We describe a novel approach to the management of obstipation and fecal impaction: the implantation of the button gastrostomy device in the appendiceal stump or the terminal ileum. We report the procedure in two children. One child had pseudoobstruction syndrome complicated by recurrent obstipation; the other had cystic fibrosis complicated by recurrent obstruction from meconium ileus equivalent. Both children received a polyethylene glycol/electrolyte solution, with or without pancreatic enzymes, which was administered through the button. The children have remained essentially asymptomatic for at least 10 months. We believe that this is the first report of the use of a button gastrostomy device to successfully manage chronic obstipation and recurrent fecal impaction in children.","meconium ileus equivalent, obstipation, fecal impaction, pseudoobstruction syndrome"
"Fever greater than 38 degrees C is a cardinal sign of patients with the severe acute respiratory syndromes (SARS). To reduce the risk of nosocomial cross infections, screening all patients and visitors who visit hospitals and clinics for fever at the entrance of every hospital building has become a standard protocol in Taiwan during the SARS epidemic from mid-April to mid-June 2003. We used a digital infrared thermal imaging (DITI) system (Telesis Spectrum 9000 MB) to conduct mass screening of patients and visitors who entered the hospital to identify those with fever. The DITI system has two components: a sensor head and a PC imaging workstation. The sensor head is an optic-mechanical device which consists of imagining optics for focusing the infrared source information on the infrared detector. The infrared images are further converted into electrical signals, which are then processed for real-time display on the monitor. During the period from April 13 to May 12 2003, 72,327 outpatients and visitors entered Taipei Medical University-Wan Fang Hospital, Taipei, Taiwan. A total of 305 febrile patients (0.42%) was detected by infrared thermography. Among them, three probable SARS patients were identified after thorough studies including contact history, laboratory tests and radiology examinations. The findings suggests that infrared thermography was an effective and reliable tool ideal for mass-screening patients with fever in the initial phase of screening for SARS patients at a busy hospital which sees approximately 3,000 outpatients every weekday during the SARS epidemic.","public health, spectrum, real time, infrared"
"Duplicate gallbladder is a rare congenital anomaly resulting from abnormalities in embryogenesis during the fifth and sixth weeks of gestation. Approximately 210 cases have been described. Variations include duplicate, triplicate, and septated gallbladder. We encountered a 15-year-old girl with both a duplicated gallbladder and a duplicated cystic duct who underwent successful laparoscopic cholecystectomy. This combination is extremely unusual, and based upon our findings in this case and a review of the literature, we propose the Unified Classification of Multiple Gallbladders.","gallbladder development, gallbladder abnormalities, duplicate gallbladder, hepatobiliary embryology, multiple gallbladders, embryology, surgery"
"This study considers a multi-storey composite frame subject to a fire which travels vertically between three floors. Previous work has analysed the behaviour of this structure when subject to simultaneous fires on three floors. It highlighted the importance of the cooling regime adopted and the relative axial stiffness of the steel beams to the overall behaviour of the structure. This paper extends that work by investigating the more realistic case of a vertically travelling fire. Various inter-floor time delays are considered as well as two floor beam sizes. It is found that the inter-floor time delay affects the global behaviour substantially. The behaviour is also in part dependent on the stiffness of the floor beams. Axial forces caused by thermal expansion in individual floors may induce cyclic loading on the column which is not normally considered in structural fire design but may be important in determining structural behaviour. Identifying a worst-case rate of vertical fire spread is not possible due to the range of structural responses, so it is recommended that designers consider several rates of spread and ensure structural integrity for each.","Travelling fires, Performance-based design, Multi-storey, Fire, Structural design, Modelling"
"This study extends the research on prototypical buying decision approaches. Specifically, it compares buying activities, the accompanying prototypical buying decision approaches, and the impact of situational variables on the use of a buying decision approach by organizational buyers and users. Data collected from a survey of purchasing managers and doctors at 150 general hospitals in Korea show both commonalities and differences among buyers and users. The results also provide some empirical support for Robinson et al.'s [Robinson PJ, Faris CW, Wind Y. Industrial buying and creative marketing. Boston: Allyn and Bacon, 1967] buyclass framework.","organizational buying behavior, buying center, buyclass framework, buying decision approach, data collection"
"The manufacturing process of cold-formed thin-walled steel members induces cold work which can be characterized by the co-existent residual stresses and equivalent plastic strains and has a significant effect on their structural behaviour and strength. The present paper and the companion paper are concerned with the prediction of residual stresses and co-existent equivalent plastic strains in stainless steel sections formed by the press-braking method. This manufacturing process consists of the following two distinct stages: (i) coiling and uncoiling of the sheets, and (ii) press-braking operations. This paper first presents an analytical solution for the residual stresses and the co-existent equivalent plastic strains that arise from the second stage while a corresponding analytical solution for the first stage is presented in the companion paper. In both solutions, plane strain pure bending is assumed and the effect of material anisotropy is taken into account. On the basis of these two analytical solutions, an analytical model is presented to predict residual stresses and equivalent plastic strains in press-braked stainless sections. The predictions of the analytical model are shown to be in close agreement with results from a finite element-based method, demonstrating the validity and accuracy of the analytical model. The analytical model provides a much simpler method for the accurate prediction of residual stresses and equivalent plastic strains in different parts of a press-braked stainless steel section than a finite element-based method.","stainless steel, finite element simulation, cold-formed sections, press-braking, residual stresses, material anisotropy, cold bending, finite element, analytic solution, residual stress"
"5 clinical psychologists, utilizing only the transcribed Wechsler records and test manual, diagnosed each of 110 cases in accordance with the diagnostic signs and method suggested by Wechsler. Though the agreement between test and criterion hospital diagnoses was of borderline statistical significance, the error ranged from 33 through 40% of the cases diagnosed. From 11.3 through 36.6% of the cases could not be diagnosed. Profiles overlapped sufficienty to make discriminations between them both difficult and unreliable for some cases. (PsycINFO Database Record (c) 2006 APA, all rights reserved)","wechsler-bellevue, diagnosis &, psychoses, evaluation, diagnosis, schizophrenia, statistical significance"
"Since using a novel silver-impregnated antimicrobial dressing (Aquacel Ag, ConvaTec, Princeton, NJ) in our pediatric patients with partial-thickness burns, hospital LOS has been significantly reduced. Here we investigated whether there was concomitant cost-effectiveness of this approach.We retrospectively reviewed Burn Registry Data from a large Children's Hospital Burn Unit from January 2005 through August 2005 for inpatients with partial-thickness burns treated with Aquacel Ag. A comparison group was composed of patients from the same period the previous year treated with silver sulfadiazine cream (SSD, Par Pharmaceuticals, Woodcliff, NJ) and matched for age and %TBSA burned. Patients with inhalation injury or full-thickness burns were excluded. Intent-to-treat analysis was limited to patients with less than 22% TBSA burn. Direct costs and total charges were compared statistically after log transformation due to the skewedness of the data.Total charges and direct costs were significantly lower for Aquacel Ag-treated patients (n = 38) than for SSD-treated patients (n = 39) (P = .004 and P < .001, respectively). In addition, Aquacel Ag-treated patients had a shorter LOS than SSD-treated patients.These data strongly support our findings that the application of Aquacel Ag reduces hospital LOS which results in a significant cost savings in the care of pediatric patients with partial-thickness burns.","hospital costs, direct costs, partial-thickness burns, total charges, total body surface area, length of stay, dc, tc, los, silver-impregnated hydrofiber dressing, tbsa, cost effectiveness"
"Background/Purpose: Extended left hepatectomy, also referred to as left hepatic trisegmentectomy, in which segments II, III, IV, V, and VIII are excised, is rarely performed in children. Experience with 7 such resections is reported to describe the anatomy, technique, indications, and outcomes of the operation. Methods: The medical records of all pediatric patients treated at our institution over the last 15 years who underwent extended left hepatectomy were reviewed. Demographic information as well as operative, pathological, and follow-up data were analyzed. Results: Seven patients underwent extended left hepatectomy over this period. There were 5 boys and 2 girls ranging in age between 4 months and 9 years with a median age of 3.1 years. Follow-up ranged from 8 months to 5 years with a median of 3.5 years. Diagnoses included hepatoblastoma (HB, n = 3), focal nodular hyperplasia (FNH, n = 1), leiomyosarcoma (LMS, n = 1), hepatocellular carcinoma (HCC, n = 1), and metastatic neuroblastoma (NB, n = 1). All surgical margins were grossly negative. Median operative blood loss was 13 mL/kg (range, 5 to 32 mL/kg), and mean hospital stay was 9 days (range, 7 to 12 days). No major intra- or postoperative complications were encountered, and there was no perioperative mortality. The 3 HB patients, 1 FNH patient, 1 LMS patient, and 1 NB patient are without evidence of disease, whereas the 1 child with HCC died of recurrent and distant disease. The 6 surviving children have normal hepatic function. Conclusion: Although technically challenging and rarely performed, extended resection of the left hepatic lobe is feasible in children and can yield curative results with minimal morbidity.","extended left hepatectomy, liver, hepatoblastoma, surgery, medical records"
"Developers and purchasers of controlled health terminologies require valid mechanisms for comparing terminological systems. By Controlled Health Vocabularies, we refer to terminologies and terminological systems designed to represent clinical data at a granularity consistent with the practice of today's healthcare delivery. Comprehensive criterion for the evaluation of such systems historically have been lacking and the known criteria are inconsistently applied. Although there are many papers which describe specific desirable features of a controlled health vocabulary, to date there is not a consistent guide for evaluators of terminologies to reference, which will help them compare implementations of terminological systems on an equal footing [Methods Inf. Med. 37 (1998) 394, J. Am. Med. Inform. Assoc. 5 (1998) 503]. This guideline serves to fill the gap between academic enumeration of desirable terminological characteristics and the practical implementation or rigorous evaluations which will yield comparable data regarding the quality of one or more controlled health vocabularies.","system design, data representation, standardization, quality assurance, knowledge management"
"An artificial neural network is proposed in this paper for solving the linear complementarity problem. The new neural network is based on a reformulation of the linear complementarity problem into the unconstrained minimization problem. Our new neural network can be easily implemented on a circuit. On the theoretical aspect, we analyze the existence of the equilibrium points for our neural network. In addition, we prove that if the equilibrium point exists for the neural network, then any such equilibrium point is both asymptotically and bounded (Lagrange) stable for any initial state. Furthermore, linear programming and certain quadratical programming problems (not necessarily convex) can be also solved by the neural network. Simulation results on several problems including a nonconvex one are also reported.","neural network, linear programming, initial state, simulation result, new neural network, stability, artificial neural network, linear complementarity problem, unconstrained minimization problem, equilibrium point, certain quadratical programming problem"
"Burnout is the result of unmanaged stress that has been shown to affect those working in the healthcare professions. Although much research has been conducted on burnout among nurses, physicians and other health professionals, there is limited documentation on the phenomenon among dietitians. The purpose of this study was to establish the prevalence of burnout among dietitians in Ontario, Canada, determine the demographic variables associated with burnout, and compare these results with burnout data for other healthcare professionals.The Maslach Burnout Inventory-Human Services Survey and a demographic questionnaire were emailed to registered dietitians.The dietitians surveyed experienced a moderate amount of emotional exhaustion (mean = 19.96), a low level of depersonalisation (mean = 4.31) and a moderate sense of personal accomplishment (mean = 38.61). Statistically significant relationships were found between years as a dietitian and personal accomplishment (r = 0.16; P = 0.05), age and personal accomplishment (r = 0.15; P = 0.01), hours worked per week and emotional exhaustion (r = 0.17; P = 0.01) and hours worked per week and depersonalisation (r = 0.14; P = 0.01). There were no significant differences in mean burnout scores across the five areas of practice. Over 57% of dietitians had scores indicative of moderate to high levels of burnout overall.Although dietitians have lower levels of burnout compared to other healthcare professionals, moderate levels of emotional exhaustion and only moderate levels of personal accomplishment remain workplace issues for this professional group.","questionnaires, nutrition, incidence, services, stress, emotional exhaustion, physicians, burnout, health, documentation"
"Job stress is an integral part of the organizational landscape and particularly severe in the sales profession. A host of studies have looked at felt stress, its antecedents, and consequences. This research examines how employee resistance to change and a manager's decisiveness affect the salesperson's felt stress and turnover intentions. This study shows that the salesperson's resistance to change is positively associated with felt stress. Study results also show that the impact of an employee's resistance to change on felt stress is moderated by a manager's decisiveness. Model hypotheses are tested with responses from 255 bank salespeople in India.","turnover intention, felt stress, manager's decisiveness, resistance to change"
"The Theory of Planned Behavior is used to predict a variety of behaviors, but its use in dealing with predicting e-commerce intentions in small-to-medium-sized enterprises (SMEs) and in developing countries is limited. We use the TPB to model intentions to adopt e-commerce among 212 managers/owners of SMEs in Chile. Hierarchical regression results show that the subjective norm and attitude constructs positively and significantly predict intentions, but the perceived behavioral control construct does not. Results can be used by developing countries, especially those in Latin America, to encourage the adoption of e-commerce among SMEs.","smes, theory of planned behavior, information technology, e-commerce, electronic commerce, latin america, developing country, e commerce"
"The parameters in plastic injection moulding are highly nonlinear and interacting. Good control of plastic melt temperature for injection moulding is very important in reducing operator setup time, assuring consistent product quality, and preventing thermal degradation of the melt. Step response testing was performed on the barrel heating zones on an industrial injection moulding machine (IMM). The open loop responses indicated a high degree of process coupling between the heating zones. From these experimental step responses, a multiple-input-multiple-output model predictive control strategy was developed and practically implemented. The requirement of negligible overshoot is important to the plastics industry for preventing material overheating and wastage, and reducing machine operator setup time. A generic learning and self-optimizing MPC methodology was developed and implemented on the IMM to control melt temperature for any polymer to be moulded on any machine having different electrical heater capacities. The control performance was tested for varying setpoint trajectories typical of normal machine operations. The results showed that the predictive controller provided good control of melt temperature for all zones with negligible oscillations, and, therefore, eliminated material degradation and extended machine setup time.","material properties, predictive control, self-optimizing, injection moulding, model predictive control, oscillations"
"7 advanced graduate students in clinical psychology ranked, in an order most descriptive of optimal personality integration, 20 abbreviated paragraphs of Murray's ""desires and effects of the 20 manifest needs."" There was highly significant agreement between judges, and this pattern of needs is discussed as a conceptualization of mental health. 116 male research scientists, using the same paragraphs, described themselves. Deviation of self-descriptions from the ideal related significantly to measures of creativity, ego strength, manifest anxiety, autonomy, and authoritarian values. Strong conflict on specific Blacky scales was frequently associated with marked deviation of a need related to the particular psychosexual issue. Methodological considerations in defining mental health, the role of mental health in creativity, and the value of self-description in assessment are discussed. (22 ref.) (PsycINFO Database Record (c) 2006 APA, all rights reserved)","definition of, rehabilitation, mental health, mental health &, clinical psychology"
"A theoretical investigation of the effects of elastic coherency strain on the thermodynamics, kinetics, and morphology of intercalation in single LiFePO(4) nanoparticles yields new insights into this important battery material. Anisotropic elastic stiffness and misfit strains lead to the unexpected prediction that low-energy phase boundaries occur along {101} planes, while conflicting reports of phase boundary orientations are resolved by a partial loss of coherency in the [001] direction. Elastic relaxation near surfaces leads to the formation of a striped morphology with a characteristic length scale predicted by the model, yielding an estimate of the interfacial energy. The effects of coherency strain on solubility and galvanostatic discharge are studied with a reaction-limited phase-field model that quantitatively captures the influence of misfit strain, particle size, and temperature on solubility seen in experiments. Coherency strain strongly suppresses phase separation during discharge, which enhances rate capability and extends cycle life. The effects of elevated temperature and the feasibility of nucleation are considered in the context of multiparticle cathodes.","Li-ion battery, LiFePO4, phase-field model, coherency strain, phase boundaries, stripe morphology, Butler-Volmer kinetics"
"Exploring the role of psychological contracts, this study proposes that different organizational cultures are associated with relational psychological contracts compared to transactional contracts while both types of contracts serve as mediators. While clan cultures positively impact relational contracts and are negatively associated with transactional contracts, hierarchical cultures have the reverse effect. In addition, psychological contract types mediate the two culture types' relationship to both organizational commitment and employee yearly earnings. In sum, clan cultures relate to more positive organizational outcomes than hierarchical cultures, a finding which as implications for future research and practice.","transactional contracts, hierarchy culture, clan culture, affective commitment, relational contracts, yearly earnings, psychological contracts, organizational culture, organizational commitment, psychological contract"
The present study provides evidence on the mobility effects of researchers from the public R&D system with regard to firm's innovation process. This issue is particularly novel and important as these researchers contribute to the production and transfer of knowledge previously developed and accumulated in the public R&D system. The findings confirm that scientific knowledge which public researchers provide has a positive influence on both inputs and outputs of the firms' innovation process. The fact that firms have access to additional knowledge which is complementary to that they already hold represents a spur for exploiting and applying this new knowledge. The firms in this study continually increased their in-house R&D investments. As a result of these investments firms create new knowledge of a unique and valuable type. The study draws two important conclusions geared to providing a greater efficiency in human resource management and to improve the design of technology policies.,"public researchers' mobility, r&d., innovation management, knowledge management, scientific knowledge transfer, r&d"
"Privacy includes the right of individuals and organisations to determine for themselves when, how and to what extent information about them is communicated to others. The growing need of managing large amounts of both clinical and genetic data raises important legal and ethical challenges. This paper introduces some of the privacy-protection problems related to classical and genomic medicine, and highlights the relevance of trusted third parties and of privacy-enhancing techniques (PETs) in the context of data collection, e.g., for research. Practical approaches based on two pseudonymisation models, for both batch data collection and interactive data storage, are presented. The actual application of the described techniques today proves the possible benefits for medicine that innovative privacy-enhancing techniques can provide. Technical PET solutions can unlock valuable data sources, otherwise not available.","trusted third parties, pseudonymisation, confidentiality, genomic medicine, privacy-enhancing techniques"
"Regulation of osteoclast differentiation is an aspect central to the understanding of the pathogenesis and the treatment of bone diseases such as autoimmune arthritis and osteoporosis. In fact, excessive signaling by RANKL (receptor activator of nuclear factor kappaB ligand), a member of the tumor necrosis factor (TNF) family essential for osteoclastogenesis, may contribute to such pathological conditions. Here we summarize our current work on the negative regulation of osteoclastogenesis by unique signaling crosstalk between RANKL and interferons (IFNs). First, activated T cells maintain bone homeostasis by counterbalancing the action of RANKL through production of IFN-gamma. This cytokine induces rapid degradation of the RANK (receptor activator of nuclear factor kappaB) adapter protein TRAF6 (TNF-receptor-associated factor 6), resulting in strong inhibition of the RANKL-induced activation of NF-kappaB and JNK (c-Jun N-terminal kinase). Second, RANKL induces the IFN-beta gene but not IFN-alpha genes, in osteoclast precursor cells, and that IFN-beta strongly inhibits the osteoclast differentiation by interfering with the RANKL-induced expression of c-Fos. The series of in vivo experiments revealed that these two distinct IFN-mediated regulatory mechanisms are both important to maintain homeostasis of bone resorption. Collectively, these studies revealed novel aspects of the two types of IFN, beyond their original roles in the immune response, and may offer a molecular basis for the treatment of bone diseases.","interferon, osteoporosis, arthritis, osteoclast, rankl, carrier proteins, immune response, signal transduction, tumor necrosis factor, bone resorption, cell differentiation"
"This study examines whether the new ventures success of small and medium enterprises (SMEs) in the biotech industry relates with the characteristics of strategic alliances. The study advances a research conceptual framework. Using sampling data gathered from 189 Taiwan biotech firms through a benchmarking questionnaire, the study tests six hypotheses employing structural equations. The findings are generally consistent with the literature. The study supports all hypotheses. Consequently, the results show that strategic alliances improve SMEs' new venture success. This research provides managerial implications for both entrepreneurs and managers and some suggestions for future research.","strategic alliance, smes, biotech new venture, small and medium enterprise, industrial relations, data gathering, conceptual framework"
"The existing interpretation methods for piezocone penetration tests (CPTU) are reviewed for prediction of the constrained compression modulus (Es). Three expressway sites in Jiangsu Province are selected for this study. In each site, CPTU tests are performed supplemented by consolidation tests using high-quality undisturbed soft soil samples. Then, Es-predicted methods based on the CPTU tests are compared and evaluated. The new correlations are also developed to predict the values of Es from the cone tip resistance (qc), corrected cone tip resistance (qt) and net cone tip resistance (qn) for soft clay in Jiangsu Province. Furthermore, the correlations are verified by comparing the total settlements predicted from CPTU and the measured settlements for one selected expressway site. The results show that the Senneset et al (1989) method based on the net cone resistance is able to predict Es better than the other methods. The predicted total settlements based on CPTU parameters show a better agreement with the measured ones. Accordingly, the reliability of the application of CPTU for Es and settlement prediction is verified.","Compression modulus, Piezocone penetration test, Settlement prediction, Soft clay"
